IR,RED,Heart Rate,Respiration Rate,SPO2
216987,228044,,,
217217,228074,,,
217066,228152,,,
217231,228114,,,
217093,228125,,,
217181,228232,,,
217127,228286,,,
217210,228321,,,
217240,228286,,,
217206,228466,,,
217369,228430,,,
217224,228540,,,
217314,228565,,,
217354,228597,,,
217334,228715,,,
217449,228704,,,
217396,228784,,,
217397,228970,,,
217551,228837,,,
217495,228997,,,
217447,229144,,,
217620,229088,,,
217529,229131,,,
217576,229283,,,
217644,229316,,,
217557,229310,,,
217630,229453,,,
217693,229432,,,
217610,229522,,,
217669,229623,,,
217790,229674,,,
217688,229676,,,
217727,229791,,,
217808,229870,,,
217740,229806,,,
217702,229725,,,
217698,229516,,,
217574,229222,,,
217470,228943,,,
217443,228710,,,
217332,228494,,,
217188,228252,,,
217218,228126,,,
217159,227985,,,
217036,227807,,,
217084,227690,,,
217084,227636,,,
217044,227636,,,
217118,227668,,,
217059,227686,,,
217076,227703,,,
217085,227692,,,
217118,227699,,,
217082,227702,,,
217121,227711,,,
217084,227707,,,
217258,227808,,,
217086,227873,,,
217249,227866,,,
217148,227898,,,
217233,227996,,,
217176,228052,,,
217272,228083,,,
217238,228102,,,
217275,228272,,,
217410,228208,,,
217261,228320,,,
217324,228308,,,
217471,228405,,,
217291,228513,,,
217380,228540,,,
217557,228587,,,
217464,228657,,,
217446,228753,,,
217609,228804,,,
217452,228870,,,
217514,228987,,,
217649,228976,,,
217496,229067,,,
217579,229105,,,
217662,229177,,,
217550,229278,,,
217664,229312,,,
217657,229401,,,
217651,229399,,,
217742,229521,,,
217778,229531,,,
217681,229431,,,
217714,229306,,,
217584,228984,,,
217478,228703,,,
217456,228381,,,
217336,228190,,,
217257,228051,,,
217291,227774,,,
217193,227646,,,
217063,227569,,,
217147,227361,,,
217004,227283,,,
217057,227299,,,
217000,227330,,,
217090,227358,,,
217040,227383,,,
217086,227386,,,
217052,227367,,,
217094,227389,,,
217068,227404,,,
217137,227389,,,
217102,227499,,,
217143,227506,,,
217127,227563,,,
217171,227608,,,
217276,227678,,,
217108,227821,,,
217336,227785,,,
217172,227812,,,
217283,227914,,,
217296,227908,,,
217276,228081,,,
217419,228053,,,
217360,228174,,,
217341,228188,,,
217412,228264,,,
217352,228345,,,
217412,228393,,,
217497,228473,,,
217434,228473,,,
217503,228612,,,
217516,228684,,,
217479,228772,,,
217622,228834,,,
217584,228833,,,
217570,228958,,,
217687,229047,,,
217645,229044,,,
217634,229233,,,
217777,229220,,,
217692,229166,,,
217672,229057,,,
217664,228775,,,
217461,228374,,,
217382,228124,,,
217333,227856,,,
217166,227632,,,
217058,227438,,,
217090,227260,,,
216989,227014,,,
216938,226939,,,
216953,226844,,,
216894,226856,,,
216963,226881,,,
216919,226929,,,
217004,226952,,,
216944,226938,,,
217002,226942,,,
216975,226911,,,
217026,226936,,,
216975,226960,,,
217036,226972,,,
216978,227088,,,
217069,227109,,,
217051,227158,,,
217056,227150,,,
217221,227291,,,
217011,227389,,,
217225,227375,,,
217090,227417,,,
217190,227511,,,
217186,227523,,,
217188,227715,,,
217336,227675,,,
217252,227740,,,
217227,227953,,,
217418,227862,,,
217311,227953,,,
217301,228006,,,
217477,228086,,,
217378,228162,,,
217372,228171,,,
217515,228267,,,
217339,228363,,,
217444,228417,,,
217472,228505,,,
217413,228536,,,
217537,228629,,,
217528,228693,,,
217474,228603,,,
217530,228499,,,
217402,228121,,,
217277,227817,,,
217283,227433,,,
217120,227202,,,
217011,226988,,,
217006,226685,,,
216863,226504,,,
216756,226405,,,
216862,226165,,,
216678,226055,,,
216734,226019,,,
216674,226059,,,
216782,226109,,,
216717,226167,,,
216814,226132,,,
216726,226175,,,
216812,226145,,,
216721,226180,,,
216834,226194,,,
216723,226205,,,
216805,226269,,,
216748,226343,,,
216841,226374,,,
216869,226413,,,
216849,226446,,,
216990,226591,,,
216878,226672,,,
216983,226676,,,
216857,226797,,,
216961,226815,,,
216996,226879,,,
216956,226928,,,
217082,227032,,,
217042,227034,,,
217080,227179,,,
217135,227221,,,
217087,227249,,,
217148,227421,,,
217225,227458,,,
217159,227442,,,
217219,227555,,,
217269,227636,,,
217229,227677,,,
217215,227793,,,
217324,227849,,,
217292,227865,,,
217360,227979,,,
217400,228075,,,
217379,228095,,,
217352,228173,,,
217431,228144,,,
217355,227983,,,
217222,227640,,,
217185,227293,,,
217019,226922,,,
216880,226576,,,
216847,226313,,,
216760,226084,,,
216618,225804,,,
216627,225651,,,
216551,225481,,,
216423,225360,,,
216498,225246,,,
216466,225299,,,
216516,225350,,,
216450,225439,,,
216555,225425,,,
216488,225471,,,
216561,225470,,,
216541,225503,,,
216589,225477,,,
216470,225573,,,
216606,225628,,,
216632,225659,,,
216606,225676,,,
216791,225824,,,
216659,225911,,,
216761,225940,,,
216662,226035,,,
216748,226072,,,
216803,226173,,,
216728,226227,,,
216846,226314,,,
216790,226319,,,
216890,226443,,,
216947,226464,,,
216915,226577,,,
216895,226755,,,
217082,226660,,,
216956,226759,,,
217015,226905,,,
217090,226974,,,
217062,226985,,,
217110,227146,,,
217160,227204,,,
217104,227205,,,
217187,227330,,,
217257,227422,,,
217180,227424,,,
217250,227557,,,
217304,227632,,,
217234,227665,,,
217338,227769,,,
217369,227744,,,
217306,227757,,,
217251,227622,,,
217283,227240,,,
217004,226794,,,
216949,226510,,,
216867,226197,,,
216690,225851,,,
216644,225690,,,
216617,225524,,,
216486,225253,,,
216467,225147,,,
216463,225043,,,
216301,225000,,,
216407,225031,,,
216311,225109,,,
216437,225120,,,
216374,225156,,,
216462,225156,,,
216345,225180,,,
216479,225164,,,
216443,225211,,,
216489,225255,,,
216553,225245,,,
216482,225478,,,
216674,225423,,,
216536,225496,,,
216652,225526,,,
216598,225654,,,
216660,225708,,,
216686,225774,,,
216665,225885,,,
216776,225863,,,
216681,226012,,,
216742,226060,,,
216918,226108,,,
216799,226202,,,
216806,226390,,,
216995,226299,,,
216930,226417,,,
216883,226618,,,
217048,226531,,,
216966,226656,,,
216977,226812,,,
217119,226805,,,
217053,226838,,,
217099,226997,,,
217168,227050,,,
217126,227038,,,
217175,227217,,,
217230,227279,,,
217238,227306,,,
217239,227468,,,
217295,227486,,,
217209,227347,,,
217152,227170,,,
217152,226863,,,
216951,226456,,,
216835,226146,,,
216780,225855,,,
216629,225548,,,
216541,225367,,,
216534,225182,,,
216433,224973,,,
216313,224771,,,
216367,224701,,,
216341,224701,,,
216387,224762,,,
216393,224818,,,
216433,224848,,,
216369,224900,,,
216440,224875,,,
216404,224955,,,
216452,224917,,,
216457,225038,,,
216481,225056,,,
216442,225122,,,
216497,225185,,,
216622,225222,,,
216484,225456,,,
216722,225426,,,
216597,225450,,,
216672,225565,,,
216655,225615,,,
216668,225713,,,
216839,225765,,,
216706,225852,,,
216757,225884,,,
216792,225979,,,
216744,226028,,,
216868,226116,,,
216845,226190,,,
216812,226240,,,
216924,226373,,,
216913,226473,,,
216929,226478,,,
217003,226600,,,
217014,226717,,,
216971,226737,,,
217097,226859,,,
217086,226973,,,
217079,226987,,,
217172,227096,,,
217167,227131,,,
217100,227013,,,
217098,226740,,,
216983,226381,,,
216839,225975,,,
216762,225678,,,
216594,225395,,,
216493,225186,,,
216475,224903,,,
216462,224759,,,
216258,224613,,,
216284,224399,,,
216425,224361,,,
216285,224420,,,
216476,224489,,,
216252,224571,,,
216505,224536,,,
216306,224604,,,
216532,224600,,,
216290,224602,,,
216535,224621,,,
216327,224832,,,
216532,224785,,,
216413,224869,,,
216502,224881,,,
216479,225044,,,
216552,225097,,,
216534,225176,,,
216566,225227,,,
216636,225348,,,
216588,225391,,,
216672,225482,,,
216644,225530,,,
216675,225721,,,
216848,225704,,,
216679,225782,,,
216739,225845,,,
216942,225934,,,
216834,226020,,,
216828,226210,,,
217005,226159,,,
216911,226253,,,
216902,226444,,,
217090,226403,,,
216917,226523,,,
216988,226550,,,
217144,226646,,,
217047,226717,,,
217029,226726,,,
217133,226358,,,
216852,226052,,,
216748,225764,,,
216777,225320,,,
216481,225024,,,
216427,224861,,,
216482,224496,,,
216303,224315,,,
216187,224237,,,
216312,223948,,,
216138,223961,,,
216205,223973,,,
216199,224014,,,
216241,224109,,,
216227,224134,,,
216266,224139,,,
216257,224134,,,
216268,224173,,,
216260,224208,,,
216296,224300,,,
216250,224335,,,
216334,224388,,,
216371,224422,,,
216345,224552,,,
216540,224632,,,
216399,224678,,,
216509,224731,,,
216408,224843,,,
216490,224885,,,
216569,224991,,,
216485,225007,,,
216579,225112,,,
216564,225107,,,
216610,225236,,,
216687,225303,,,
216638,225380,,,
216690,225515,,,
216761,225561,,,
216714,225590,,,
216752,225699,,,
216798,225783,,,
216798,225844,,,
216787,225941,,,
216924,225988,,,
216878,226096,,,
216923,226176,,,
216992,226067,,,
216822,225735,,,
216742,225476,,,
216641,225109,,,
216470,224767,,,
216367,224523,,,
216336,224294,,,
216209,224118,,,
216106,223919,,,
216132,223793,,,
216077,223714,,,
215911,223779,,,
216196,223745,,,
215955,223914,,,
216226,223908,,,
216007,224026,,,
216258,223979,,,
216027,224095,,,
216288,224060,,,
216078,224206,,,
216324,224159,,,
216177,224220,,,
216282,224247,,,
216248,224417,,,
216319,224494,,,
216300,224590,,,
216339,224636,,,
216491,224748,,,
216373,224868,,,
216541,224921,,,
216406,225037,,,
216477,225108,,,
216657,225203,,,
216465,225315,,,
216568,225352,,,
216746,225464,,,
216562,225570,,,
216635,225628,,,
216807,225750,,,
216693,225867,,,
216746,226065,,,
216926,225989,,,
216809,226135,,,
216805,226351,,,
217011,226322,,,
216887,226429,,,
216918,226518,,,
217091,226612,,,
216977,226661,,,
216952,226725,,,
217069,226426,,,
216858,226196,,,
216738,225980,,,
216772,225661,,,
216577,225477,,,
216491,225392,,,
216567,225176,,,
216402,225027,,,
216358,224957,,,
216376,224871,,,
216197,224846,,,
216279,224869,,,
216199,224967,,,
216322,225028,,,
216219,225086,,,
216353,225104,,,
216238,225161,,,
216350,225176,,,
216266,225234,,,
216382,225271,,,
216359,225342,,,
216396,225410,,,
216571,225497,,,
216433,225595,,,
216570,225642,,,
216458,225731,,,
216539,225821,,,
216510,225863,,,
216537,226078,,,
216724,226025,,,
216571,226120,,,
216642,226159,,,
216637,226260,,,
216626,226291,,,
216705,226420,,,
216722,226506,,,
216710,226545,,,
216783,226653,,,
216759,226738,,,
216771,226756,,,
216868,226904,,,
216868,227011,,,
216840,227061,,,
216925,227156,,,
216949,227235,,,
216884,227308,,,
216981,227404,,,
217077,227472,,,
216951,227592,,,
217056,227594,,,
217225,227645,,,
217002,227602,,,
217008,227389,,,
217062,227191,,,
216816,227033,,,
216784,226864,,,
216901,226780,,,
216703,226698,,,
216650,226714,,,
216776,226472,,,
216599,226452,,,
216550,226506,,,
216698,226432,,,
216451,226561,,,
216697,226524,,,
216480,226664,,,
216712,226594,,,
216481,226688,,,
216693,226644,,,
216539,226736,,,
216729,226701,,,
216572,226756,,,
216686,226790,,,
216613,226792,,,
216672,226919,,,
216602,226978,,,
216692,227008,,,
216744,227017,,,
216677,227147,,,
216857,227211,,,
216690,227297,,,
216779,227345,,,
216803,227338,,,
216793,227553,,,
216938,227526,,,
216866,227583,,,
216849,227785,,,
217035,227681,,,
216931,227804,,,
216920,227975,,,
217084,227928,,,
216987,228042,,,
217016,228176,,,
217163,228175,,,
217052,228227,,,
217118,228360,,,
217201,228396,,,
217148,228403,,,
217175,228536,,,
217252,228611,,,
217206,228688,,,
217188,228717,,,
217258,228699,,,
217200,228482,,,
217112,228385,,,
217108,228234,,,
217028,228162,,,
216932,227985,,,
216989,227980,,,
216935,227937,,,
216887,227835,,,
216916,227833,,,
216856,227762,,,
216759,227911,,,
217010,227838,,,
216770,227986,,,
217050,227921,,,
216800,227963,,,
