X,Y,Z
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.05,1
