RED1,IR1,RED2,IR2,RED3,IR3,RED4,IR4
4445,4788,89264,111618,262143,262143,262143,262143
4451,4790,89260,111565,262143,262143,262143,262143
4447,4794,89244,111486,262143,262143,262143,262143
4444,4803,89222,111496,262143,262143,262143,262143
4438,4781,89215,111636,262143,262143,262143,262143
4441,4776,89239,111578,262143,262143,262143,262143
4440,4780,89230,111581,262143,262143,262143,262143
4431,4789,89212,111487,262143,262143,262143,262143
4443,4800,89207,111559,262143,262143,262143,262143
4439,4783,89217,111617,262143,262143,262143,262143
4440,4783,89254,111730,262143,262143,262143,262143
4434,4778,89303,111779,262143,262143,262143,262143
4443,4795,89272,111760,262143,262143,262143,262143
4453,4788,89304,111868,262143,262143,262143,262143
4441,4783,89289,111764,262143,262143,262143,262143
4432,4782,89287,111736,262143,262143,262143,262143
4439,4785,89265,111562,262143,262143,262143,262143
4439,4786,89223,111534,262143,262143,262143,262143
4434,4779,89230,111569,262143,262143,262143,262143
4441,4772,89243,111659,262143,262143,262143,262143
4429,4786,89255,111654,262143,262143,262143,262143
4435,4780,89233,111635,262143,262143,262143,262143
4436,4795,89240,111694,262143,262143,262143,262143
4445,4781,89278,111691,262143,262143,262143,262143
4427,4781,89286,111704,262143,262143,262143,262143
4439,4777,89290,111699,262143,262143,262143,262143
4442,4801,89255,111713,262143,262143,262143,262143
4433,4782,89289,111753,262143,262143,262143,262143
4434,4779,89270,111696,262143,262143,262143,262143
4432,4787,89260,111661,262143,262143,262143,262143
4442,4782,89255,111721,262143,262143,262143,262143
4448,4783,89271,111759,262143,262143,262143,262143
4424,4795,89269,111753,262143,262143,262143,262143
4318,4689,77915,112464,82357,147887,82400,147848
4431,4775,89259,111546,262143,262143,262143,262143
4432,4787,89201,111529,262143,262143,262143,262143
4430,4764,89242,111545,262143,262143,262143,262143
4456,4774,89242,111496,262143,262143,262143,262143
4426,4764,89231,111331,262143,262143,262143,262143
4426,4770,89161,111014,262143,262143,262143,262143
4429,4773,89111,111147,262143,262143,262143,262143
